status,longitude,latitude,house_type,beds,baths,full_baths,price_reduced,new_construction,foreclosure,plans,new_listing,is_coming_soon,is_contingent,is_pending,price_reduced_amount,days_since_last_sold,days_since_list_date,last_sold_prices,list_prices
1,-121.94953,37.775004,3,2,2,2,0,0,0,0,1,0,0,0,0,1233,2,550000,675000
1,-121.940795,37.768731,3,1,1,1,0,0,0,0,1,0,0,0,0,6040,3,363000,499000
1,-121.896325,37.764393,1,3,3,2,0,0,0,0,1,0,0,0,0,168,4,1600000,1549000
1,-121.940595,37.768571,3,2,1,1,0,0,0,0,1,0,0,0,0,2623,5,455000,639000
1,-121.912321,37.765604,3,3,3,3,0,0,0,0,1,0,0,0,0,1896,5,770000,1199000
1,-121.944696,37.766341,3,2,2,2,0,0,0,0,1,0,0,0,0,1433,6,612000,749950
1,-121.94005,37.760629,1,3,3,3,0,0,0,0,1,0,0,0,0,2368,6,415500,1748000
1,-121.915579,37.764569,1,4,5,4,0,0,0,0,1,0,0,0,0,2196,7,1250000,2099500
1,-121.890251,37.760825,1,5,4,4,0,0,0,0,1,0,0,0,0,6315,7,1142500,2348000
1,-121.94153,37.765125,2,3,3,3,0,0,0,0,1,0,0,0,0,2289,7,875000,1500000
1,-121.932564,37.773512,1,4,3,2,0,0,0,0,1,0,0,0,0,5556,9,1040000,1975000
1,-121.953253,37.767486,1,4,3,3,0,0,0,0,1,0,0,1,0,12839,11,248000,1675000
1,-121.930007,37.775655,2,3,3,2,0,0,0,0,1,0,0,0,0,2953,12,649000,1199888
1,-121.906022,37.763093,2,3,3,2,0,0,0,0,1,0,0,0,0,1428,13,830000,1188000
1,-121.941093,37.778821,1,5,5,5,0,0,0,0,1,0,0,0,0,785,13,1810000,2975000
1,-121.916381,37.762664,1,4,4,3,0,0,0,0,1,0,0,1,0,2589,13,1036500,1798000
1,-121.940781,37.773885,1,3,3,2,0,0,0,0,1,0,0,0,0,2248,13,998000,1600000
1,-121.945558,37.786272,2,3,3,2,0,0,0,0,1,0,0,1,0,4079,14,550000,1299950
1,-121.919592,37.780741,1,3,3,2,0,0,0,0,1,0,0,0,0,2273,15,1103000,2050000
1,-121.917191,37.756133,1,4,4,3,0,0,0,0,1,0,0,1,0,1065,18,1465000,2250000
1,-121.916379,37.733339,1,5,4,3,0,0,0,0,1,0,0,1,0,9088,19,587000,2250000
1,-121.918503,37.758181,1,4,5,4,0,0,0,0,1,0,0,1,0,733,19,1750000,2450000
1,-121.890263,37.748176,1,4,3,2,1,0,0,0,1,0,0,0,999,5840,19,866500,1800000
0,-121.942672,37.763448,1,4,2,2,0,0,0,0,1,0,0,0,0,169,0,2226000,1795000
0,-121.888612,37.745156,1,5,5,4,0,0,0,0,1,0,0,0,0,125,0,2810000,2675000
1,-121.910983,37.774833,1,4,5,4,0,0,0,0,1,0,0,1,0,5766,19,1026000,2249000
1,-121.920313,37.776533,2,4,3,3,0,0,0,0,1,0,0,1,0,6483,19,439000,998000
1,-121.920153,37.771697,2,5,4,4,0,0,0,0,1,0,0,0,0,6056,19,829000,1459000
1,-121.95056,37.780034,3,2,2,2,0,0,0,0,1,0,0,1,0,2045,20,635000,899000
1,-121.912753,37.759721,1,3,3,2,0,0,0,0,1,0,0,1,0,1906,20,969000,1475000
1,-121.902566,37.760532,1,4,3,2,0,0,0,0,1,0,0,0,0,7048,20,576000,1498888
1,-121.939267,37.769011,1,3,3,2,0,0,0,0,1,0,0,1,0,1471,20,1198500,1499500
1,-121.946108,37.7673,3,2,3,2,0,0,0,0,1,0,0,0,0,2693,21,530000,829000
1,-121.926864,37.790437,1,5,3,3,0,0,0,0,1,0,0,1,0,9100,21,401000,1699888
1,-121.911161,37.765522,3,4,4,4,0,0,0,0,1,0,0,1,0,0,21,,1270000
1,-121.898788,37.75002,2,3,3,2,0,0,0,0,1,0,0,0,0,5762,22,600000,1175000
1,-121.899865,37.772019,3,4,4,3,1,0,0,0,1,0,0,0,1000,65,22,1133500,1199000
1,-121.916106,37.767377,1,4,3,3,0,0,0,0,1,0,0,1,0,3838,25,845000,2195000
1,-121.950983,37.780267,3,3,2,2,1,0,0,0,1,0,0,0,51000,1587,27,807000,1048000
1,-121.899179,37.750609,3,3,3,2,0,0,0,0,1,0,0,0,0,4381,27,515000,1175000
0,-121.926335,37.783846,2,4,3,2,0,0,0,0,1,0,0,0,0,27,0,1470000,1250000
1,-121.914181,37.773509,1,3,3,2,1,0,0,0,1,0,0,0,75000,3053,27,930000,1975000
1,-121.942626,37.769282,3,2,2,2,0,0,0,0,1,0,0,1,0,4885,27,295000,649000
1,-121.926473,37.779135,1,4,5,4,0,0,0,0,1,0,0,1,0,194,28,3289000,2999000
1,-121.943718,37.772771,3,2,2,2,0,0,0,0,1,0,0,0,0,2305,31,470000,695000
1,-121.916967,37.761837,1,4,4,3,0,0,0,0,1,0,0,0,0,4346,33,719000,1750000
1,-121.93182,37.768096,1,4,3,3,0,0,0,0,1,0,0,1,0,408,33,1900000,2199000
1,-121.951545,37.769552,1,4,3,3,0,0,0,0,1,0,0,1,0,11433,34,377000,1699000
0,-121.91529,37.761067,1,4,4,3,0,0,0,0,1,0,0,0,0,6,0,2000000,1938000
1,-121.896232,37.779863,1,5,5,4,1,0,0,0,1,0,0,0,86000,5174,34,924500,2399000
1,-121.945297,37.767626,3,1,1,1,0,0,0,0,1,0,0,1,0,644,34,440000,545000
1,-121.928661,37.787242,1,3,3,2,0,0,0,0,1,0,0,1,0,481,34,1560000,1474000
1,-121.903507,37.749298,1,5,4,3,0,0,0,0,1,0,0,0,0,3093,34,1365000,2788000
0,-121.944191,37.773003,3,1,1,1,0,0,0,0,1,0,0,0,0,6,0,540000,520000
1,-121.928267,37.787417,1,4,3,3,1,0,0,0,1,0,0,0,50000,7029,39,668000,1799000
1,-121.891587,37.747102,1,6,5,4,0,0,0,0,1,0,0,1,0,5663,40,1281000,2438000
0,-121.921094,37.781212,1,3,2,2,0,0,0,0,1,0,0,0,0,20,0,1850000,1698000
1,-121.94638,37.791156,1,3,2,2,1,0,0,0,1,0,0,1,50000,11493,40,188000,1548000
1,-121.944374,37.784216,1,3,3,2,0,0,0,0,1,0,0,1,0,12453,40,287000,1599950
